,frame,model,pca_comps,accuracy_score,precision_score,recall_score,auc_roc_score,best_score,best_params
58,pca_processed,Random Forest Classifier,5,0.9737,0.9861,0.9726,0.9741,0.945054945054945,"{'criterion': 'gini', 'n_estimators': 20, 'verbose': 1}"
6,pca_processed,Ada Boost Classifier,2,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
24,pca_processed,Ada Boost Classifier,3,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
42,pca_processed,Ada Boost Classifier,4,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
60,pca_processed,Ada Boost Classifier,5,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
25,pca_processed,Gradient Boosting Classifier,3,0.9561,0.9722,0.9589,0.9551,0.9538461538461538,"{'criterion': 'mse', 'learning_rate': 0.3, 'n_estimators': 98}"
43,pca_processed,Gradient Boosting Classifier,4,0.9561,0.9722,0.9589,0.9551,0.9538461538461538,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 98}"
61,pca_processed,Gradient Boosting Classifier,5,0.9561,0.9722,0.9589,0.9551,0.9538461538461538,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 97}"
22,pca_processed,Random Forest Classifier,3,0.9561,0.9583,0.9718,0.951,0.9428571428571428,"{'criterion': 'gini', 'n_estimators': 25, 'verbose': 0}"
12,pca_default,Logistic Regression,2,0.9561,0.9048,0.9744,0.9605,0.9846153846153847,"{'C': 29, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}"
8,pca_processed,XGBoost Classifier,2,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
26,pca_processed,XGBoost Classifier,3,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
44,pca_processed,XGBoost Classifier,4,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
62,pca_processed,XGBoost Classifier,5,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
0,pca_processed,KNN,2,0.9474,0.9583,0.9583,0.9435,0.8857142857142858,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 9, 'weights': 'distance'}"
3,pca_processed,Logistic Regression,2,0.9474,0.9583,0.9583,0.9435,0.9626373626373625,"{'C': 12, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}"
7,pca_processed,Gradient Boosting Classifier,2,0.9474,0.9583,0.9583,0.9435,0.9538461538461538,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 101}"
18,pca_processed,KNN,3,0.9474,0.9583,0.9583,0.9435,0.8857142857142858,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 9, 'weights': 'distance'}"
